gst_present,pan_present,udyam_present,signature_present,quotation_present,gst_valid,pan_valid,udyam_valid,quotation_valid,gst_days_to_expiry,udyam_days_to_expiry,name_consistency,address_consistency,price_consistency,num_pages,has_signature,has_delivery_date,has_payment_terms,has_warranty,text_length,num_dates_found,num_prices_found,gst_validation_score,pan_validation_score,udyam_validation_score,completeness_score,consistency_score,validity_score,id,label,confidence
1,1,1,1,1,1,1,1,1,1997,152,1,1,1,2,1,1,1,0,1876,3,3,94,94,100,93,87,97,APP_0000,APPROVE,0.9868629349656605
1,1,1,1,1,1,1,1,1,1857,501,1,1,1,1,1,1,1,1,3511,2,2,94,94,99,98,96,96,APP_0001,APPROVE,0.8680453597714229
1,1,1,1,1,1,1,1,1,980,750,1,1,1,8,1,1,1,1,4252,5,2,90,92,99,93,89,88,APP_0002,APPROVE,0.9377457687157948
1,1,1,1,1,1,1,1,1,2973,324,1,1,1,2,1,1,1,0,816,2,1,96,91,94,93,91,92,APP_0003,APPROVE,0.8729564070203836
1,1,1,1,1,1,1,1,1,889,1760,1,1,1,9,1,1,1,0,1741,2,3,100,98,91,97,95,87,APP_0004,APPROVE,0.9175334756037955
1,1,1,1,1,1,1,1,1,1051,1502,1,1,1,2,1,1,1,1,1116,2,2,92,91,99,87,95,96,APP_0005,APPROVE,0.8723937766749633
1,1,1,1,1,1,1,1,1,2754,1345,1,1,1,9,1,1,1,0,2466,3,2,99,94,99,99,97,89,APP_0006,APPROVE,0.9200920942718314
1,1,1,1,1,1,1,1,1,2677,648,1,1,1,7,1,1,1,1,1578,5,1,97,96,99,98,97,90,APP_0007,APPROVE,0.976148904250849
1,1,1,1,1,1,1,1,1,344,1359,1,1,1,7,1,1,1,1,3371,2,1,94,94,99,96,90,100,APP_0008,APPROVE,0.8560421238378862
1,1,1,1,1,1,1,1,1,2038,118,1,1,1,7,1,1,1,1,2035,2,2,93,95,93,100,86,93,APP_0009,APPROVE,0.9922095254193505
1,1,1,1,1,1,1,1,1,3083,913,1,1,1,1,1,1,1,1,2374,4,1,99,91,96,92,89,94,APP_0010,APPROVE,0.9205649270168355
1,1,1,1,1,1,1,1,1,1134,512,1,1,1,3,1,1,1,0,4287,5,2,95,96,98,91,93,86,APP_0011,APPROVE,0.8689024707657338
1,1,1,1,1,1,1,1,1,746,650,1,1,1,6,1,1,1,0,3433,2,3,92,98,98,94,98,97,APP_0012,APPROVE,0.9598815256430739
1,1,1,1,1,1,1,1,1,2820,555,1,1,1,3,1,1,1,1,3939,2,3,90,95,100,97,87,97,APP_0013,APPROVE,0.9650385188402303
1,1,1,1,1,1,1,1,1,3440,741,1,1,1,10,1,1,1,0,4163,3,3,93,99,96,92,87,89,APP_0014,APPROVE,0.9551053326886052
1,1,1,1,1,1,1,1,1,594,1435,1,1,1,10,1,1,1,1,608,5,3,91,99,95,98,88,96,APP_0015,APPROVE,0.9824023438398787
1,1,1,1,1,1,1,1,1,2456,176,1,1,1,4,1,1,1,0,4842,5,2,90,93,90,94,87,89,APP_0016,APPROVE,0.9218857846281304
1,1,1,1,1,1,1,1,1,677,509,1,1,1,1,1,1,1,0,4985,1,2,94,96,100,88,92,85,APP_0017,APPROVE,0.933577261822047
1,1,1,1,1,1,1,1,1,1872,1030,1,1,1,3,1,1,1,0,2040,2,3,95,90,95,89,91,98,APP_0018,APPROVE,0.9916256370810783
1,1,1,1,1,1,1,1,1,918,360,1,1,1,4,1,1,1,0,1213,1,1,93,100,94,92,100,87,APP_0019,APPROVE,0.8690950198303372
1,1,1,1,1,1,1,1,1,2068,1523,1,1,1,9,1,1,1,1,1989,4,1,100,96,98,88,85,95,APP_0020,APPROVE,0.8524238050680586
1,1,1,1,1,1,1,1,1,3078,938,1,1,1,6,1,1,1,0,3377,2,3,93,96,100,96,91,90,APP_0021,APPROVE,0.8610519474491584
1,1,1,1,1,1,1,1,1,3378,1058,1,1,1,8,1,1,1,0,3464,3,1,92,95,93,99,88,97,APP_0022,APPROVE,0.9469209692188624
1,1,1,1,1,1,1,1,1,1391,634,1,1,1,1,1,1,1,1,4104,1,3,95,100,91,86,96,91,APP_0023,APPROVE,0.9593341567681394
1,1,1,1,1,1,1,1,1,541,1239,1,1,1,8,1,1,1,0,3934,4,3,95,92,98,86,86,91,APP_0024,APPROVE,0.9630681227003413
1,1,1,1,1,1,1,1,1,436,489,1,1,1,5,1,1,1,1,2626,3,1,91,92,100,85,94,89,APP_0025,APPROVE,0.8973787804280429
1,1,1,1,1,1,1,1,1,937,713,1,1,1,8,1,1,1,0,2705,2,3,94,92,97,96,86,91,APP_0026,APPROVE,0.9169250693948581
1,1,1,1,1,1,1,1,1,2931,1217,1,1,1,10,1,1,1,0,3935,2,1,93,90,91,100,100,93,APP_0027,APPROVE,0.9769051899931902
1,1,1,1,1,1,1,1,1,3078,1048,1,1,1,4,1,1,1,0,4768,2,1,95,94,94,92,95,97,APP_0028,APPROVE,0.9569111736717907
1,1,1,1,1,1,1,1,1,3153,699,1,1,1,10,1,1,1,0,502,2,3,96,92,93,88,87,100,APP_0029,APPROVE,0.9296004666933928
1,1,1,1,1,1,1,1,1,2980,1320,1,1,1,8,1,1,1,0,1470,1,3,90,94,99,88,89,93,APP_0030,APPROVE,0.8879764839301898
1,1,1,1,1,1,1,1,1,2376,481,1,1,1,2,1,1,1,0,2113,3,1,91,99,97,100,100,96,APP_0031,APPROVE,0.9467482729791428
1,1,1,1,1,1,1,1,1,285,681,1,1,1,6,1,1,1,1,2341,1,2,98,93,94,94,98,99,APP_0032,APPROVE,0.9656426813491096
1,1,1,1,1,1,1,1,1,3217,1662,1,1,1,8,1,1,1,1,3987,3,2,93,90,98,97,94,89,APP_0033,APPROVE,0.959360879119793
1,1,1,1,1,1,1,1,1,3515,985,1,1,1,9,1,1,1,0,3300,2,2,98,93,90,97,92,97,APP_0034,APPROVE,0.9026670303501427
1,1,1,1,1,1,1,1,1,219,1357,1,1,1,8,1,1,1,0,3801,1,3,94,90,99,94,99,91,APP_0035,APPROVE,0.978469274597369
1,1,1,1,1,1,1,1,1,2288,1208,1,1,1,5,1,1,1,0,2483,5,2,92,94,99,91,93,92,APP_0036,APPROVE,0.8690005660749595
1,1,1,1,1,1,1,1,1,3089,1345,1,1,1,2,1,1,1,1,1287,5,1,99,100,99,86,86,95,APP_0037,APPROVE,0.8945537540515406
1,1,1,1,1,1,1,1,1,323,1187,1,1,1,5,1,1,1,1,3393,4,2,90,93,97,89,96,86,APP_0038,APPROVE,0.9487135990715425
1,1,1,1,1,1,1,1,1,1379,539,1,1,1,6,1,1,1,0,1142,4,1,91,91,94,99,96,88,APP_0039,APPROVE,0.9754343174246344
1,1,1,1,1,1,1,1,1,3237,1786,1,1,1,9,1,1,1,0,1942,2,3,93,100,100,85,95,94,APP_0040,APPROVE,0.8967277256429204
1,1,1,1,1,1,1,1,1,603,713,1,1,1,2,1,1,1,0,2555,4,1,98,96,90,85,85,93,APP_0041,APPROVE,0.859480246507397
1,1,1,1,1,1,1,1,1,3058,350,1,1,1,9,1,1,1,1,1901,1,3,95,93,99,89,91,87,APP_0042,APPROVE,0.937904465982156
1,1,1,1,1,1,1,1,1,841,810,1,1,1,7,1,1,1,0,4441,4,2,92,100,94,96,91,93,APP_0043,APPROVE,0.9771798233208184
1,1,1,1,1,1,1,1,1,713,1451,1,1,1,2,1,1,1,1,2837,3,2,99,93,97,97,86,99,APP_0044,APPROVE,0.8670118277976061
1,1,1,1,1,1,1,1,1,3604,1702,1,1,1,10,1,1,1,1,608,1,1,91,99,97,92,85,87,APP_0045,APPROVE,0.9023496391209205
1,1,1,1,1,1,1,1,1,1667,391,1,1,1,2,1,1,1,1,3271,2,2,94,96,99,86,100,99,APP_0046,APPROVE,0.9526874356780245
1,1,1,1,1,1,1,1,1,2778,503,1,1,1,2,1,1,1,1,4041,1,3,92,97,90,96,100,91,APP_0047,APPROVE,0.8668474421153166
1,1,1,1,1,1,1,1,1,474,964,1,1,1,5,1,1,1,0,2894,4,2,95,100,90,100,100,86,APP_0048,APPROVE,0.9664987382816016
1,1,1,1,1,1,1,1,1,612,901,1,1,1,7,1,1,1,1,742,3,1,91,96,97,96,90,91,APP_0049,APPROVE,0.9194129123015073
1,1,1,1,1,1,1,1,1,2032,125,1,1,1,4,1,1,1,0,3756,4,2,94,96,98,95,88,97,APP_0050,APPROVE,0.9701240730582137
1,1,1,1,1,1,1,1,1,3373,1469,1,1,1,6,1,1,1,0,628,4,1,97,95,98,95,94,92,APP_0051,APPROVE,0.8772720062813996
1,1,1,1,1,1,1,1,1,3126,633,1,1,1,1,1,1,1,1,4345,4,1,96,97,93,100,85,92,APP_0052,APPROVE,0.9902391452437931
1,1,1,1,1,1,1,1,1,589,295,1,1,1,3,1,1,1,1,2546,2,1,100,99,99,88,89,90,APP_0053,APPROVE,0.96220120801912
1,1,1,1,1,1,1,1,1,351,809,1,1,1,8,1,1,1,1,1147,3,1,94,95,97,90,87,88,APP_0054,APPROVE,0.8879431073966367
1,1,1,1,1,1,1,1,1,864,1248,1,1,1,9,1,1,1,1,2984,5,2,97,93,95,97,89,88,APP_0055,APPROVE,0.937901071280548
1,1,1,1,1,1,1,1,1,1435,469,1,1,1,4,1,1,1,1,3866,2,3,90,90,94,98,100,92,APP_0056,APPROVE,0.9593531315684849
1,1,1,1,1,1,1,1,1,3255,664,1,1,1,4,1,1,1,0,627,3,3,96,94,96,93,97,97,APP_0057,APPROVE,0.9594904793056573
1,1,1,1,1,1,1,1,1,702,1348,1,1,1,5,1,1,1,1,1239,4,2,93,91,94,100,85,85,APP_0058,APPROVE,0.9744451681091574
1,1,1,1,1,1,1,1,1,943,1288,1,1,1,8,1,1,1,1,3381,1,3,93,93,98,88,88,97,APP_0059,APPROVE,0.9292514685236813
1,1,1,1,1,1,1,1,1,1304,1587,1,1,1,4,1,1,1,1,4028,5,2,92,98,99,87,93,95,APP_0060,APPROVE,0.9550350456423803
1,1,1,1,1,1,1,1,1,816,502,1,1,1,5,1,1,1,1,936,3,2,98,97,90,96,97,94,APP_0061,APPROVE,0.8823313548864525
1,1,1,1,1,1,1,1,1,2525,1217,1,1,1,1,1,1,1,1,3998,5,2,100,99,90,85,93,97,APP_0062,APPROVE,0.9580163182568046
1,1,1,1,1,1,1,1,1,2358,1086,1,1,1,9,1,1,1,0,3226,3,3,90,99,97,90,94,88,APP_0063,APPROVE,0.9000024528939283
1,1,1,1,1,1,1,1,1,3181,459,1,1,1,10,1,1,1,1,4675,3,3,94,99,94,86,96,92,APP_0064,APPROVE,0.8918752323234221
1,1,1,1,1,1,1,1,1,1835,1518,1,1,1,9,1,1,1,1,1947,3,3,92,98,92,86,94,85,APP_0065,APPROVE,0.9378411942168847
1,1,1,1,1,1,1,1,1,1966,584,1,1,1,5,1,1,1,1,4796,4,3,94,90,97,88,97,92,APP_0066,APPROVE,0.9217808739701635
1,1,1,1,1,1,1,1,1,1746,259,1,1,1,7,1,1,1,1,4992,4,3,100,90,92,88,90,89,APP_0067,APPROVE,0.9766327454485175
1,1,1,1,1,1,1,1,1,3201,1032,1,1,1,2,1,1,1,0,960,2,2,99,91,95,91,86,97,APP_0068,APPROVE,0.9531448915420604
